Provider_ID,Quarter,Staff_to_Patient_Ratio,RN_Hours_per_Patient_Day,Agency_Staff_Percent,Readmission_Cost_per_Case
10005,2024-01-01,5.53,8.08,15.14,15644.87
10005,2024-04-01,6.33,8.38,15.21,15830.86
10005,2024-07-01,6.18,8.32,13.88,15624.37
10005,2024-10-01,6.41,8.04,15.75,15356.26
10005,2025-01-01,6.44,8.54,14.58,15431.33
10005,2025-04-01,7.29,8.29,13.4,14500.78
10005,2025-07-01,7.18,8.48,12.76,14458.09
10012,2024-01-01,5.57,8.1,15.1,15746.35
10012,2024-04-01,5.95,8.34,14.76,15602.05
10012,2024-07-01,5.61,8.07,13.92,15247.19
10012,2024-10-01,6.36,7.96,15.06,14704.23
10012,2025-01-01,6.14,8.55,14.5,15707.08
10012,2025-04-01,6.09,8.72,13.3,14750.69
10012,2025-07-01,6.0,8.68,13.33,15572.66
10032,2024-01-01,5.11,10.31,11.58,12274.61
10032,2024-04-01,5.27,10.54,12.2,12951.81
10032,2024-07-01,5.48,10.5,11.4,11926.73
10032,2024-10-01,5.06,10.4,11.64,12416.15
10032,2025-01-01,5.93,10.73,11.74,12111.58
10032,2025-04-01,5.49,10.84,11.6,11931.63
10032,2025-07-01,5.96,10.86,9.08,12184.41
10131,2024-01-01,5.59,8.05,11.51,14719.1
10131,2024-04-01,6.18,8.58,9.88,13517.24
10131,2024-07-01,5.91,7.66,11.48,13972.69
10131,2024-10-01,5.8,8.33,11.45,14893.53
10131,2025-01-01,6.79,7.96,8.26,13471.73
10131,2025-04-01,6.27,8.17,10.02,14187.69
10131,2025-07-01,6.56,8.1,8.26,13252.09
20018,2024-01-01,4.08,9.15,12.12,16148.82
20018,2024-04-01,4.18,9.96,11.92,16753.82
20018,2024-07-01,4.28,9.75,11.91,16521.29
20018,2024-10-01,4.03,9.41,12.47,17131.29
20018,2025-01-01,4.44,10.05,13.35,16548.52
20018,2025-04-01,4.78,10.2,13.31,16410.65
20018,2025-07-01,4.18,10.72,13.24,16467.83
30073,2024-01-01,3.81,9.01,15.74,11751.99
30073,2024-04-01,4.17,9.27,16.07,10912.46
30073,2024-07-01,3.65,8.91,14.23,11559.41
30073,2024-10-01,3.68,9.44,14.31,11562.65
30073,2025-01-01,4.22,9.99,14.33,11225.69
30073,2025-04-01,4.13,9.67,13.08,11422.66
30073,2025-07-01,4.81,10.36,13.0,11024.63
30084,2024-01-01,4.63,9.69,0.16,8449.09
30084,2024-04-01,4.7,10.51,0.0,8246.83
30084,2024-07-01,4.95,10.27,2.15,10164.3
30084,2024-10-01,4.96,10.88,2.03,8591.77
30084,2025-01-01,5.43,11.01,0.0,8523.43
30084,2025-04-01,5.16,10.87,0.52,8510.64
30084,2025-07-01,5.75,11.12,0.63,8561.13
40007,2024-01-01,7.39,11.45,1.17,8377.27
40007,2024-04-01,6.78,11.1,1.25,8206.18
40007,2024-07-01,6.99,10.73,0.28,8819.57
40007,2024-10-01,6.82,11.2,0.48,8859.22
40007,2025-01-01,6.57,11.26,0.9,9055.08
40007,2025-04-01,6.66,11.57,2.43,8474.87
40007,2025-07-01,7.31,11.54,0.0,8436.14
40018,2024-01-01,7.29,11.51,9.48,10917.87
40018,2024-04-01,6.77,11.82,7.3,11271.68
40018,2024-07-01,7.33,11.85,10.13,11391.3
40018,2024-10-01,6.97,11.29,7.62,11528.52
40018,2025-01-01,7.25,11.46,8.0,10385.38
40018,2025-04-01,7.46,12.33,8.4,9930.06
40018,2025-07-01,7.67,12.19,9.23,10048.42
40050,2024-01-01,6.99,5.61,2.92,8617.22
40050,2024-04-01,6.95,5.96,1.2,7937.37
40050,2024-07-01,7.07,6.28,0.97,7875.93
40050,2024-10-01,7.14,5.7,2.18,8384.55
40050,2025-01-01,7.6,6.34,2.78,8180.9
40050,2025-04-01,7.66,5.4,3.5,7840.74
40050,2025-07-01,7.87,5.6,0.6,6960.42
41328,2024-01-01,4.06,7.1,16.06,17217.68
41328,2024-04-01,4.97,7.42,16.43,16972.18
41328,2024-07-01,4.85,7.29,16.69,16675.33
41328,2024-10-01,5.04,7.25,16.37,15930.24
41328,2025-01-01,4.66,6.55,14.53,16940.35
41328,2025-04-01,5.27,7.81,16.21,16599.8
41328,2025-07-01,5.49,7.21,13.95,15686.08
50054,2024-01-01,3.77,6.5,13.25,18536.63
50054,2024-04-01,3.94,6.72,11.99,17948.06
50054,2024-07-01,3.98,6.93,12.6,18579.88
50054,2024-10-01,4.01,6.55,13.08,18349.35
